cif,municipality,prov,mun,base_year,data,notes
f,"Leduc County",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!13644!13764!13920!14097!14272@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Leduc County",2,3,2000,-!12528!-!-!-!12536!13135!12730!-!-!13260!13541!-!13524!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Leduc County",2,3,2000,12495!-!12530!12532!12534!-!-!-!12907!13083!-!-!13517!-!13531!13537!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Leduc County",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!13441!13341!13253!13164!13071@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Leduc County",3,1,2000,-!12528!-!-!-!12536!13135!12730!-!-!13260!13541!-!13524!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Leduc County",3,1,2000,12495!-!12530!12532!12534!-!-!-!12907!13083!-!-!13517!-!13531!13537!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Leduc County",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!13491!13440!13401!13361!13316@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Leduc County",3,2,2000,-!12528!-!-!-!12536!13135!12730!-!-!13260!13541!-!13524!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Leduc County",3,2,2000,12495!-!12530!12532!12534!-!-!-!12907!13083!-!-!13517!-!13531!13537!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Leduc County",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!13541!13540!13551!13560!13564@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Leduc County",3,3,2000,-!12528!-!-!-!12536!13135!12730!-!-!13260!13541!-!13524!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Leduc County",3,3,2000,12495!-!12530!12532!12534!-!-!-!12907!13083!-!-!13517!-!13531!13537!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Leduc County",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!13441!13341!13253!13164!13071@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lesser Slave River No. 124, M.d. Of",1,1,2000,-!2820!2825!2840!-!-!2820!-!-!-!-!2929!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lesser Slave River No. 124, M.d. Of",1,1,2000,2799!-!-!-!2833!2827!-!2842!2864!2885!2907!-!2930!2932!2933!2935!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lesser Slave River No. 124, M.d. Of",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2955!2977!3002!3029!3057@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lesser Slave River No. 124, M.d. Of",1,2,2000,-!2820!2825!2840!-!-!2820!-!-!-!-!2929!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lesser Slave River No. 124, M.d. Of",1,2,2000,2799!-!-!-!2833!2827!-!2842!2864!2885!2907!-!2930!2932!2933!2935!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lesser Slave River No. 124, M.d. Of",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2963!2998!3039!3084!3133@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lesser Slave River No. 124, M.d. Of",1,3,2000,-!2820!2825!2840!-!-!2820!-!-!-!-!2929!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lesser Slave River No. 124, M.d. Of",1,3,2000,2799!-!-!-!2833!2827!-!2842!2864!2885!2907!-!2930!2932!2933!2935!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lesser Slave River No. 124, M.d. Of",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2950!2965!2981!2998!3011@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lesser Slave River No. 124, M.d. Of",2,1,2000,-!2820!2825!2840!-!-!2820!-!-!-!-!2929!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lesser Slave River No. 124, M.d. Of",2,1,2000,2799!-!-!-!2833!2827!-!2842!2864!2885!2907!-!2930!2932!2933!2935!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lesser Slave River No. 124, M.d. Of",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2948!2969!2995!3026!3059@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lesser Slave River No. 124, M.d. Of",2,2,2000,-!2820!2825!2840!-!-!2820!-!-!-!-!2929!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lesser Slave River No. 124, M.d. Of",2,2,2000,2799!-!-!-!2833!2827!-!2842!2864!2885!2907!-!2930!2932!2933!2935!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lesser Slave River No. 124, M.d. Of",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2951!2975!3004!3038!3074@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lesser Slave River No. 124, M.d. Of",2,3,2000,-!2820!2825!2840!-!-!2820!-!-!-!-!2929!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lesser Slave River No. 124, M.d. Of",2,3,2000,2799!-!-!-!2833!2827!-!2842!2864!2885!2907!-!2930!2932!2933!2935!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lesser Slave River No. 124, M.d. Of",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2933!2931!2930!2929!2925@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lesser Slave River No. 124, M.d. Of",3,1,2000,-!2820!2825!2840!-!-!2820!-!-!-!-!2929!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lesser Slave River No. 124, M.d. Of",3,1,2000,2799!-!-!-!2833!2827!-!2842!2864!2885!2907!-!2930!2932!2933!2935!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lesser Slave River No. 124, M.d. Of",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2936!2937!2938!2941!2939@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lesser Slave River No. 124, M.d. Of",3,2,2000,-!2820!2825!2840!-!-!2820!-!-!-!-!2929!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lesser Slave River No. 124, M.d. Of",3,2,2000,2799!-!-!-!2833!2827!-!2842!2864!2885!2907!-!2930!2932!2933!2935!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lesser Slave River No. 124, M.d. Of",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2939!2942!2947!2952!2953@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lesser Slave River No. 124, M.d. Of",3,3,2000,-!2820!2825!2840!-!-!2820!-!-!-!-!2929!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lesser Slave River No. 124, M.d. Of",3,3,2000,2799!-!-!-!2833!2827!-!2842!2864!2885!2907!-!2930!2932!2933!2935!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lesser Slave River No. 124, M.d. Of",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2933!2931!2930!2929!2925@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lethbridge County",1,1,2000,-!9935!9930!-!-!-!10254!10302!-!-!-!10061!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lethbridge County",1,1,2000,9806!-!-!10011!10092!10173!-!-!10242!10182!10121!-!10066!10071!10076!10081!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lethbridge County",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!10220!10358!10512!10679!10845@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lethbridge County",1,2,2000,-!9935!9930!-!-!-!10254!10302!-!-!-!10061!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lethbridge County",1,2,2000,9806!-!-!10011!10092!10173!-!-!10242!10182!10121!-!10066!10071!10076!10081!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lethbridge County",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!10260!10447!10659!10906!11147@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lethbridge County",1,3,2000,-!9935!9930!-!-!-!10254!10302!-!-!-!10061!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lethbridge County",1,3,2000,9806!-!-!10011!10092!10173!-!-!10242!10182!10121!-!10066!10071!10076!10081!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lethbridge County",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!10190!10295!10405!10519!10633@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lethbridge County",2,1,2000,-!9935!9930!-!-!-!10254!10302!-!-!-!10061!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lethbridge County",2,1,2000,9806!-!-!10011!10092!10173!-!-!10242!10182!10121!-!10066!10071!10076!10081!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lethbridge County",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!10101!10126!10171!10246!10311@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lethbridge County",2,2,2000,-!9935!9930!-!-!-!10254!10302!-!-!-!10061!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lethbridge County",2,2,2000,9806!-!-!10011!10092!10173!-!-!10242!10182!10121!-!10066!10071!10076!10081!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lethbridge County",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!10133!10190!10267!10376!10474@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lethbridge County",2,3,2000,-!9935!9930!-!-!-!10254!10302!-!-!-!10061!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lethbridge County",2,3,2000,9806!-!-!10011!10092!10173!-!-!10242!10182!10121!-!10066!10071!10076!10081!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lethbridge County",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!9999!9913!9831!9753!9673@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lethbridge County",3,1,2000,-!9935!9930!-!-!-!10254!10302!-!-!-!10061!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lethbridge County",3,1,2000,9806!-!-!10011!10092!10173!-!-!10242!10182!10121!-!10066!10071!10076!10081!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lethbridge County",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!10031!9976!9925!9877!9828@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lethbridge County",3,2,2000,-!9935!9930!-!-!-!10254!10302!-!-!-!10061!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lethbridge County",3,2,2000,9806!-!-!10011!10092!10173!-!-!10242!10182!10121!-!10066!10071!10076!10081!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lethbridge County",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!10062!10039!10020!10003!9985@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Lethbridge County",3,3,2000,-!9935!9930!-!-!-!10254!10302!-!-!-!10061!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Lethbridge County",3,3,2000,9806!-!-!10011!10092!10173!-!-!10242!10182!10121!-!10066!10071!10076!10081!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Lethbridge County",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!9999!9913!9831!9753!9673@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Minburn No. 27, County Of",1,1,2000,3524!3436!-!-!-!-!3319!-!-!-!-!3278!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Minburn No. 27, County Of",1,1,2000,-!-!3413!3389!3366!3342!-!3311!3303!3294!3286!-!3280!3281!3283!3285!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Minburn No. 27, County Of",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!3308!3334!3365!3400!3437@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Minburn No. 27, County Of",1,2,2000,3524!3436!-!-!-!-!3319!-!-!-!-!3278!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Minburn No. 27, County Of",1,2,2000,-!-!3413!3389!3366!3342!-!3311!3303!3294!3286!-!3280!3281!3283!3285!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Minburn No. 27, County Of",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!3319!3358!3406!3464!3524@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Minburn No. 27, County Of",1,3,2000,3524!3436!-!-!-!-!3319!-!-!-!-!3278!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Minburn No. 27, County Of",1,3,2000,-!-!3413!3389!3366!3342!-!3311!3303!3294!3286!-!3280!3281!3283!3285!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Minburn No. 27, County Of",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!3302!3318!3338!3358!3379@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Minburn No. 27, County Of",2,1,2000,3524!3436!-!-!-!-!3319!-!-!-!-!3278!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Minburn No. 27, County Of",2,1,2000,-!-!3413!3389!3366!3342!-!3311!3303!3294!3286!-!3280!3281!3283!3285!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Minburn No. 27, County Of",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!3266!3253!3249!3252!3257@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Minburn No. 27, County Of",2,2,2000,3524!3436!-!-!-!-!3319!-!-!-!-!3278!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Minburn No. 27, County Of",2,2,2000,-!-!3413!3389!3366!3342!-!3311!3303!3294!3286!-!3280!3281!3283!3285!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Minburn No. 27, County Of",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!3277!3274!3280!3294!3309@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Minburn No. 27, County Of",2,3,2000,3524!3436!-!-!-!-!3319!-!-!-!-!3278!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Minburn No. 27, County Of",2,3,2000,-!-!3413!3389!3366!3342!-!3311!3303!3294!3286!-!3280!3281!3283!3285!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Minburn No. 27, County Of",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!3239!3194!3152!3111!3072@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Minburn No. 27, County Of",3,1,2000,3524!3436!-!-!-!-!3319!-!-!-!-!3278!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Minburn No. 27, County Of",3,1,2000,-!-!3413!3389!3366!3342!-!3311!3303!3294!3286!-!3280!3281!3283!3285!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Minburn No. 27, County Of",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!3249!3214!3182!3151!3121@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Minburn No. 27, County Of",3,2,2000,3524!3436!-!-!-!-!3319!-!-!-!-!3278!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Minburn No. 27, County Of",3,2,2000,-!-!3413!3389!3366!3342!-!3311!3303!3294!3286!-!3280!3281!3283!3285!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Minburn No. 27, County Of",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!3260!3235!3213!3192!3172@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Minburn No. 27, County Of",3,3,2000,3524!3436!-!-!-!-!3319!-!-!-!-!3278!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Minburn No. 27, County Of",3,3,2000,-!-!3413!3389!3366!3342!-!3311!3303!3294!3286!-!3280!3281!3283!3285!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Minburn No. 27, County Of",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!3239!3194!3152!3111!3072@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Mountain View County",1,1,2000,-!12124!12134!-!-!-!12308!12570!-!-!-!12356!12359!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Mountain View County",1,1,2000,11955!-!-!12178!12221!12265!-!-!12517!12463!12410!-!-!12365!12371!12377!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Mountain View County",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!12635!12890!13173!13470!13760@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Mountain View County",1,2,2000,-!12124!12134!-!-!-!12308!12570!-!-!-!12356!12359!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Mountain View County",1,2,2000,11955!-!-!12178!12221!12265!-!-!12517!12463!12410!-!-!12365!12371!12377!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Mountain View County",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!12695!13019!13389!13794!14190@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Mountain View County",1,3,2000,-!12124!12134!-!-!-!12308!12570!-!-!-!12356!12359!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Mountain View County",1,3,2000,11955!-!-!12178!12221!12265!-!-!12517!12463!12410!-!-!12365!12371!12377!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Mountain View County",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!12587!12790!13006!13226!13436@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Mountain View County",2,1,2000,-!12124!12134!-!-!-!12308!12570!-!-!-!12356!12359!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Mountain View County",2,1,2000,11955!-!-!12178!12221!12265!-!-!12517!12463!12410!-!-!12365!12371!12377!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Mountain View County",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!12361!12344!12362!12403!12424@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Mountain View County",2,2,2000,-!12124!12134!-!-!-!12308!12570!-!-!-!12356!12359!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Mountain View County",2,2,2000,11955!-!-!12178!12221!12265!-!-!12517!12463!12410!-!-!12365!12371!12377!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Mountain View County",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!12428!12477!12563!12673!12762@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Mountain View County",2,3,2000,-!12124!12134!-!-!-!12308!12570!-!-!-!12356!12359!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Mountain View County",2,3,2000,11955!-!-!12178!12221!12265!-!-!12517!12463!12410!-!-!12365!12371!12377!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Mountain View County",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!12187!11989!11804!11621!11431@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Mountain View County",3,1,2000,-!12124!12134!-!-!-!12308!12570!-!-!-!12356!12359!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Mountain View County",3,1,2000,11955!-!-!12178!12221!12265!-!-!12517!12463!12410!-!-!12365!12371!12377!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Mountain View County",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!12254!12121!11999!11878!11747@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Mountain View County",3,2,2000,-!12124!12134!-!-!-!12308!12570!-!-!-!12356!12359!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Mountain View County",3,2,2000,11955!-!-!12178!12221!12265!-!-!12517!12463!12410!-!-!12365!12371!12377!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Mountain View County",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!12321!12253!12196!12139!12071@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Mountain View County",3,3,2000,-!12124!12134!-!-!-!12308!12570!-!-!-!12356!12359!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Mountain View County",3,3,2000,11955!-!-!12178!12221!12265!-!-!12517!12463!12410!-!-!12365!12371!12377!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Mountain View County",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!12187!11989!11804!11621!11431@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Newell, County Of",1,1,2000,-!7137!-!-!-!-!6852!6862!-!7101!-!6789!6786!7138!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Newell, County Of",1,1,2000,6994!-!7080!7023!6966!6909!-!-!6982!-!6945!-!-!-!7142!7145!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Newell, County Of",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!7243!7342!7451!7569!7687@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Newell, County Of",1,2,2000,-!7137!-!-!-!-!6852!6862!-!7101!-!6789!6786!7138!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Newell, County Of",1,2,2000,6994!-!7080!7023!6966!6909!-!-!6982!-!6945!-!-!-!7142!7145!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Newell, County Of",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!7272!7405!7555!7730!7901@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
